MaxTemp,Rainfall,Evaporation,Humidity,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,RainToday,RainTomorrow
24.3,0,3.4,48.5,1019.7,1015,7,7,0,1
26.9,3.6,4.4,58,1012.4,1008.4,5,3,1,1
23.4,3.6,5.8,75.5,1009.5,1007.2,8,7,1,1
15.5,39.8,7.2,59,1005.5,1007,2,7,1,1
16.1,2.8,5.6,58.5,1018.3,1018.5,7,7,1,0
16.9,0,5.8,63.5,1023.8,1021.7,7,5,0,0
18.2,0.2,4.2,55,1024.6,1022.2,4,6,0,0
17,0,5.6,61,1026.2,1024.2,6,7,0,0
19.5,0,4,59,1026.1,1022.7,7,7,0,1
22.8,16.2,5.4,57,1024.1,1020.7,7,1,1,0
25.2,0,4.2,54,1024.4,1021.1,1,2,0,0
27.3,0.2,7.2,44.5,1023.8,1019.9,0,3,0,0
27.9,0,7.2,45.5,1022,1017.1,0,1,0,0
30.9,0,6.2,43.5,1017.3,1013.1,1,4,0,0
31.2,0,8.8,30.5,1018.2,1013.7,0,1,0,0
32.1,0,8.4,46,1017.9,1012.8,0,3,0,0
31.2,0,7.2,47.5,1014.4,1009.8,7,6,0,1
30,1.2,7.2,42.5,1016.4,1013,1,5,1,0
32.3,0.6,7.4,42.5,1017.1,1013.3,1,3,0,0
33.4,0,8,44,1018.5,1013.7,0,1,0,0
33.4,0,8.8,43,1012.4,1006.5,1,5,0,0
19.4,0.4,9.2,80,1010.7,1008.9,8,8,0,1
18.5,25.8,2.8,85,1014,1014.9,8,8,1,0
24.3,0.4,1.2,65.5,1020.7,1019.2,7,5,0,0
28.4,0,4.4,58,1022.4,1018.6,8,2,0,0
26.9,0,6.8,56.5,1019.7,1016.5,2,4,0,0
22.2,0.2,6.6,62.5,1021,1018.6,7,7,0,0
28,0,4.4,46,1019.2,1014.8,5,7,0,0
24.3,0,7,74.5,1019,1017.1,7,7,0,0
24.1,0.4,2.6,66,1017.2,1013.3,8,7,0,1
20.4,22.6,2.4,86,1015,1014.1,8,8,1,1
26.3,4.2,1.6,56,1013.9,1009.5,2,2,1,0
24.2,0.2,6.6,66,1007.9,1004.6,7,7,0,1
26.5,6.6,3.8,57,1007.3,1006.3,5,2,1,0
21.8,0,8.4,66,1015,1015.3,7,1,0,0
26.8,0,6,66,1018.8,1016.1,8,7,0,0
25.8,0,4.2,72,1014.5,1011.5,6,7,0,1
28.2,4,4.2,59,1014.8,1011.4,8,1,1,0
29.4,0,6.6,51,1010.8,1008.5,7,7,0,0
24.8,0,10.4,47.5,1011.7,1010.4,7,7,0,0
18.5,0.6,4.8,61.5,1018,1017.4,8,6,0,0
21.5,0,4.2,58.5,1021.1,1019.6,7,5,0,0
20.3,0,5,59.5,1021.9,1019.3,7,7,0,0
27.1,0,4.4,50,1018.1,1012.5,1,2,0,0
29.9,0,6.8,49.5,1012.6,1010.2,1,8,0,1
21.1,5.4,6.4,89.5,1010.1,1008.6,8,8,1,1
21.7,1.4,2.8,49.5,1017.6,1016.8,1,4,1,0
20.9,0,6.6,52,1020.6,1018.3,6,7,0,0
21,0,6.4,63,1018,1015.6,8,8,0,1
23.1,3.4,1.6,85.5,1015.8,1014.1,8,7,1,1
